Benchmark,WebPL,WebPL#min,WebPL#max,WebPL (GC),WebPL (GC)#min,WebPL (GC)#max,SWI-Prolog,SWI-Prolog#min,SWI-Prolog#max,SWI (Experimental),SWI (Experimental)#min,SWI (Experimental)#max,Trealla Prolog,Trealla Prolog#min,Trealla Prolog#max,Tau Prolog,Tau Prolog#min,Tau Prolog#max
chat\_parser,17.219999998807907,16.515000000596046,17.32999999821186,18.5149999987334,17.939999997615814,18.564999997615814,74.43999999947846,74.02875000052154,74.68125000037253,30.800000000745058,30.5862500006333,30.890000000596046,26.90249999985099,26.854999997653067,26.99500000104308,1610.8974999990314,1600.496249999851,1614.8112500021234
crypt,0.6350000016391277,0.619999997317791,0.6600000001490116,0.6349999979138374,0.6050000004470348,0.669999998062849,2.9950000010430813,2.9600000008940697,3.030000001192093,1.157499998807907,1.1500000022351742,1.1649999991059303,3.6150000020861626,3.4249999998137355,3.8099999986588955,120.76750000193715,119.94749999977648,122.49750000145286
derive,0.2900000028312206,0.2850000001490116,0.30000000074505806,0.2800000011920929,0.26000000163912773,0.2850000001490116,1.1950000002980232,1.1600000001490116,1.199999999254942,0.5399999991059303,0.5350000001490116,0.5450000017881393,0.4450000002980232,0.4399999976158142,0.45499999821186066,13.25249999947846,12.938750001601875,13.904999997466803
divide10,0.2749999985098839,0.26500000059604645,0.28999999910593033,0.24000000208616257,0.23499999940395355,0.255000002682209,1.0799999982118607,1.0499999998137355,1.0850000008940697,0.48999999836087227,0.4750000014901161,0.4950000010430813,0.39000000059604645,0.3799999989569187,0.39499999955296516,12.987499998882413,12.351250000298023,14.294999998062849
fib,4.839999999850988,4.533750000409782,5.16499999910593,7.41499999910593,7.380000002682209,7.4849999994039536,9.719999998807907,9.660000000149012,9.785000000149012,3.4900000020861626,3.480000000447035,3.5049999989569187,5.079999998211861,5.0650000013411045,5.094999998807907,3040.727499999106,3026.8712499989197,3125.50625000149
log10,0.26500000059604645,0.26000000163912773,0.27000000327825546,0.26500000059604645,0.26000000163912773,0.2749999985098839,1.0849999971687794,1.0549999997019768,1.094999998807907,0.5,0.48000000044703484,0.5049999989569187,0.4100000001490116,0.4050000011920929,0.41499999910593033,13.400000002235174,12.339999999850988,13.519999999552965
mu,0.33500000089406967,0.32999999821186066,0.35999999940395355,0.35500000044703484,0.3500000014901161,0.3762499997392297,1.3200000002980232,1.2899999991059303,1.3250000029802322,0.5949999988079071,0.5799999982118607,0.6000000014901161,0.619999997317791,0.6100000031292439,0.625,15.029999997466803,14.707499999552965,15.327499998733401
nreverse,0.2850000001490116,0.2750000022351742,0.3049999997019768,0.375,0.369999997317791,0.39499999955296516,0.6500000022351742,0.6299999989569187,0.6600000001490116,0.3049999997019768,0.29500000178813934,0.3100000023841858,0.4000000022351742,0.39499999955296516,0.4100000001490116,17.282500000670552,17.054999999701977,17.501250000670552
ops8,0.2750000022351742,0.26500000059604645,0.2850000001490116,0.26999999955296516,0.26500000059604645,0.2750000022351742,1.1000000014901161,1.0650000013411045,1.1100000031292439,0.5299999974668026,0.5249999985098839,0.5300000011920929,0.4649999998509884,0.45374999940395355,0.4700000025331974,13.177500000223517,12.295000000856817,13.980000000447035
poly\_10,5.480000000447035,5.179999999701977,5.685000002384186,16.984999999403954,16.942500000819564,17.024999998509884,19.309999998658895,15.042500000447035,19.399999998509884,4.589999999850988,4.579999998211861,4.660000000149012,6.445000000298023,6.420000001788139,6.469999998807907,3481.8875000011176,3445.1287499992177,3503.876250001602
qsort,0.32499999925494194,0.3099999986588955,0.3399999998509884,0.380000002682209,0.375,0.4049999974668026,0.8399999998509884,0.8099999986588955,0.8499999977648258,0.42000000178813934,0.4050000011920929,0.42500000074505806,0.5500000007450581,0.5399999991059303,0.5599999986588955,18.125,17.794999999925494,18.46250000037253
queens\_8,6.489999998360872,6.28999999910593,6.545000001788139,7.304999999701977,7.285000000149012,7.329999998211861,17.87000000104308,17.809999998658895,18.0,6.009999997913837,5.995000001043081,6.035000000149012,8.375,8.350000001490116,8.410000000149012,267.4349999986589,262.8099999986589,269.7075000014156
query,0.7650000005960464,0.7450000010430813,0.8000000007450581,0.8150000013411045,0.794999998062849,0.8399999998509884,2.675000000745058,2.6400000005960464,2.6950000002980232,1.0650000013411045,1.0599999986588955,1.0700000002980232,1.2600000016391277,1.2437499985098839,1.2749999985098839,20.309999998658895,19.987499998882413,20.577500000596046
tak,15.327500000596046,14.2425000006333,16.107500000856817,38.5625,38.45500000193715,38.728750000707805,28.197499999776483,27.977499997243285,28.547499999403954,10.730000000447035,10.695000000298023,10.781250000931323,27.96000000089407,27.699999999254942,28.400000002235174,26691.830000000075,26536.77000000328,26866.37875000015
times10,0.26500000059604645,0.25,0.2749999985098839,0.2749999985098839,0.26500000059604645,0.2850000001490116,1.1399999968707561,1.130000002682209,1.1449999995529652,0.5599999986588955,0.544999998062849,0.5650000013411045,0.5700000002980232,0.5599999986588955,0.5799999982118607,12.879999998956919,12.577500000596046,14.397499999031425
zebra,3.1649999991059303,3.080000001937151,3.1849999986588955,3.130000002682209,3.105000000447035,3.150000002235174,7.820000000298023,7.780000001192093,12.131250002421439,2.905000001192093,2.899999998509884,2.9150000028312206,9.759999997913837,9.698749999515712,9.850000001490116,901.5175000000745,898.9987499993294,932.9662500005215
