Benchmark,WebPL,WebPL#min,WebPL#max,WebPL (with GC),WebPL (with GC)#min,WebPL (with GC)#max,SWI-Prolog,SWI-Prolog#min,SWI-Prolog#max,Trealla Prolog,Trealla Prolog#min,Trealla Prolog#max,Tau Prolog,Tau Prolog#min,Tau Prolog#max
chat\_parser,33.59500002861023,32.564999997615814,33.86250001192093,33.2700001001358,33.16499996185303,34.3050000667572,73.21750003099442,70.68125006556511,73.43875002861023,27.102499961853027,26.99500000476837,27.243750005960464,1599.5599999427795,1595.259999960661,1601.6599999964237
crypt,0.7849999666213989,0.7400000095367432,0.7949999570846558,0.7649999856948853,0.7300000190734863,0.7699999809265137,2.875,2.8550000190734863,2.8949999809265137,3.825000047683716,3.6537499725818634,3.9749999344348907,119.3400000333786,118.46875005960464,120.79374998807907
derive,0.29499995708465576,0.26999998092651367,0.2999999523162842,0.2900000810623169,0.26999998092651367,0.2999999523162842,1.1549999713897705,1.1449999809265137,1.1649999618530273,0.44499993324279785,0.43500006198883057,0.4500000476837158,13.630000054836273,13.077499955892563,13.984999924898148
divide10,0.26999998092651367,0.26499998569488525,0.2799999713897705,0.2549999952316284,0.24500000476837158,0.26999998092651367,1.0350000858306885,1.024999976158142,1.0450000762939453,0.38499999046325684,0.3799999952316284,0.38999998569488525,13.0,12.636249989271164,14.414999961853027
fib,6.254999995231628,5.894999980926514,6.712499976158142,12.524999976158142,12.463749945163727,12.880000114440918,9.629999995231628,9.519999980926514,9.734999895095825,4.939999938011169,4.915000081062317,4.959999918937683,3045.497500002384,3001.3950000703335,3154.8762499690056
log10,0.26499998569488525,0.24500000476837158,0.28999996185302734,0.25,0.24000000953674316,0.26499998569488525,1.0199999809265137,1.0099999904632568,1.0312500596046448,0.4049999713897705,0.3999999761581421,0.4099999666213989,13.585000038146973,12.656250059604645,13.68000003695488
mu,0.38499999046325684,0.36500000953674316,0.40000009536743164,0.3999999761581421,0.3700000047683716,0.4049999713897705,1.2400000095367432,1.2300000190734863,1.25,0.6150000095367432,0.6100000143051147,0.6200000047683716,15.175000071525574,14.977499961853027,15.450000047683716
nreverse,0.375,0.3700000047683716,0.3900001049041748,0.4299999475479126,0.4099999666213989,0.44499993324279785,0.5900000333786011,0.5850000381469727,0.6000000238418579,0.3999999761581421,0.39499998092651367,0.40500009059906006,17.644999980926514,17.37000000476837,17.975000023841858
ops8,0.25999999046325684,0.24500000476837158,0.26999998092651367,0.25999999046325684,0.24500000476837158,0.26499998569488525,1.0299999713897705,1.0199999809265137,1.040000081062317,0.46000003814697266,0.4549999237060547,0.4700000286102295,12.924999952316284,12.355000019073486,13.947500050067902
poly\_10,8.742500007152557,8.378749996423721,9.125,19.369999945163727,19.289999961853027,19.580000042915344,18.752499997615814,14.549999952316284,19.002499997615814,6.325000047683716,6.289999961853027,6.370000004768372,3434.0049999952316,3412.84375,3450.813749998808
qsort,0.3850001096725464,0.375,0.40500009059906006,0.5049999952316284,0.4700000286102295,0.5149999856948853,0.7599999904632568,0.75,0.7749999761581421,0.5549999475479126,0.5499999523162842,0.559999942779541,16.722500026226044,16.468749910593033,17.08125004172325
queens\_8,11.764999985694885,11.40500009059906,11.809999942779541,11.744999885559082,11.674999952316284,11.785000026226044,16.990000009536743,16.94999998807907,17.100000023841858,8.299999952316284,8.269999980926514,8.340000033378601,261.54499995708466,259.7975000143051,272.0625
query,0.934999942779541,0.9049999713897705,0.9550000429153442,0.9900000095367432,0.9750000238418579,0.9950000047683716,2.5199999809265137,2.5049999952316284,2.5350000858306885,1.25,1.2400000095367432,1.2649999856948853,18.94000005722046,18.649999976158142,19.365000009536743
tak,32.32499998807907,30.7325000166893,33.33500003814697,630.9424999952316,629.2937500178814,632.3849999308586,26.454999923706055,26.325000047683716,26.679999947547913,28.06000006198883,27.72000002861023,28.384999990463257,27230.952499985695,27170.453749984503,27252.565000027418
times10,0.26999998092651367,0.25,0.2849999666213989,0.29499995708465576,0.28999996185302734,0.2999999523162842,1.2000000476837158,1.1850000619888306,1.215000033378601,0.5750000476837158,0.5700000524520874,0.5800000429153442,14.212499976158142,13.75,15.77999997138977
zebra,3.96999990940094,3.944999933242798,4.019999980926514,4.084999918937683,4.064999938011169,4.105000019073486,7.384999990463257,7.325000047683716,8.075000047683716,9.81499993801117,9.769999980926514,9.840000033378601,889.9075000286102,887.7212499678135,929.4312500059605
