benchmark,WebPL,WebPL (with GC),SWI-Prolog,Trealla Prolog,Tau Prolog
chat\_parser,21.590409482989845,23.02752293584817,71.03507042266953,27.077648648780745,1580.3254166642826
crypt,0.7378700000345707,0.7145899999737739,3.4701050000190734,3.744314999997616,119.32690476164932
derive,0.2974500000029802,0.2882950000613928,1.446595000013709,0.5370399999469518,13.737980769026082
divide10,0.28387999993562696,0.2654050000905991,1.3349749999642373,0.44979500007629397,13.774765840369808
fib,5.437586956584584,6.662862849497446,9.890573122608567,4.984889999985695,3109.737500000745
log10,0.2550450000166893,0.2581949999630451,1.2790199999213219,0.404565000012517,13.24493386210115
mu,0.3874500000476837,0.4151750000566244,1.5671200000047685,0.6168250000178814,15.335581039571252
nreverse,0.33860000006854535,0.404565000012517,0.7216700000613928,0.4023499999642372,17.806832739997166
ops8,0.25532000003755095,0.27599499997496607,1.314080000013113,0.5187349999547005,13.4234316351826
poly\_10,7.00899159659942,15.811261829658637,17.21036082475456,6.561277850544468,3452.719583335022
qsort,0.3473000000119209,0.40718499998748303,0.9463949999660254,0.5570799999982119,16.74944816021417
queens\_8,8.06844354843901,8.615103270198105,17.861975088927668,8.330998336068802,265.3671052628442
query,0.8652450000047683,0.8779700000286103,3.1217000000476838,1.3682999999970198,18.94030303028271
tak,17.889696428711925,42.730550847695035,29.20508720933698,28.47247159100053,27208.15916666761
times10,0.276505000025034,0.2883449999690056,1.28854000005126,0.5778650000095368,14.947955223784518
zebra,3.62727000002563,3.676305000036955,9.00057553955548,9.80490196069666,909.5800000006953
