Benchmark,WebPL,WebPL#min,WebPL#max,SWI-Prolog,SWI-Prolog#min,SWI-Prolog#max,SWI (Experimental),SWI (Experimental)#min,SWI (Experimental)#max,Trealla Prolog,Trealla Prolog#min,Trealla Prolog#max,Tau Prolog,Tau Prolog#min,Tau Prolog#max
chat\_parser,16.42000000178814,16.37000000104308,16.469999998807907,69.92750000022352,69.3449999988079,70.99749999772757,29.944999996572733,29.875,30.49499999731779,27.00499999895692,26.91000000014901,27.070000000298023,1572.515000000596,1570.997499998659,1575.797500002198
crypt,0.6200000010430813,0.6149999983608723,0.6299999989569187,2.824999999254942,2.780000001192093,2.905000001192093,1.1100000031292439,1.0850000008940697,1.1549999974668026,3.5650000013411045,3.395000002346933,3.75999999884516,118.81999999843538,117.84375000186265,119.64624999836087
derive,0.28999999910593033,0.2749999985098839,0.29499999806284904,1.1200000010430813,1.1000000014901161,1.1600000001490116,0.5149999968707561,0.505000002682209,0.5200000032782555,0.4299999997019768,0.41999999806284904,0.44999999925494194,13.285000000149012,13.0,13.774999998509884
divide10,0.26999999955296516,0.26500000059604645,0.2750000022351742,0.9900000020861626,0.9800000004470348,1.005000002682209,0.4649999998509884,0.46000000089406967,0.4750000014901161,0.375,0.369999997317791,0.39499999955296516,12.870000001043081,12.344999998807907,14.275000002235174
fib,4.75,4.5599999986588955,4.92499999795109,9.059999998658895,8.984999999403954,9.254999998956919,3.4700000025331974,3.455000001937151,3.494999997317791,5.125,5.1099999994039536,5.1400000005960464,2970.227499999106,2960.273749999702,3137.974999997765
log10,0.26500000059604645,0.26000000163912773,0.26999999955296516,1.0,0.9800000004470348,1.0399999991059303,0.4700000025331974,0.4649999998509884,0.48000000044703484,0.4100000001490116,0.4050000011920929,0.41499999910593033,13.384999999776483,12.178749999962747,13.480000000447035
mu,0.33000000193715096,0.32499999925494194,0.33500000089406967,1.25,1.205000001937151,1.280000001192093,0.5599999986588955,0.5549999997019768,0.5700000002980232,0.6150000020861626,0.5949999988079071,0.625,15.239999998360872,14.92000000178814,15.757499998435378
nreverse,0.27999999932944775,0.2749999985098839,0.2850000001490116,0.6099999994039536,0.5999999977648258,0.6350000016391277,0.3099999986588955,0.3049999997019768,0.3149999976158142,0.38499999791383743,0.3799999989569187,0.39000000059604645,17.905000001192093,17.550000000745058,18.24750000052154
ops8,0.24000000208616257,0.23999999836087227,0.24500000104308128,1.030000001192093,1.005000002682209,1.0700000002980232,0.4950000010430813,0.48999999836087227,0.5049999989569187,0.45000000298023224,0.4387499988079071,0.4649999998509884,13.779999999329448,12.618750000372529,13.984999999403954
poly\_10,5.297500001266599,4.945000000298023,5.53999999910593,18.427500000223517,14.105000000447035,18.66499999910593,4.655000001192093,4.644999999552965,4.71000000089407,6.400000002235174,6.285000000149012,6.4400000013411045,3383.314999997616,3359.25,3400.007500000298
qsort,0.3200000002980232,0.3100000023841858,0.33500000089406967,0.7899999991059303,0.7749999985098839,0.8249999992549419,0.3999999985098839,0.39499999955296516,0.4050000011920929,0.5600000023841858,0.5549999997019768,0.5650000013411045,16.78999999910593,16.519999999552965,17.20500000193715
queens\_8,6.28999999910593,6.070000000298023,6.33500000089407,16.975000001490116,16.765000000596046,17.82999999821186,6.064999997615814,6.054999999701977,6.079999998211861,8.400000002235174,8.385000001639128,8.440000001341105,260.4599999990314,257.17125000059605,264.0949999988079
query,0.75,0.744999997317791,0.7750000022351742,2.5049999989569187,2.4649999998509884,2.5350000001490116,1.0700000002980232,1.0199999995529652,1.0799999982118607,1.2100000008940697,1.1900000013411045,1.2549999989569187,18.905000001192093,18.614999999292195,19.178749999962747
tak,14.695000000298023,13.515000000596046,15.690000001341105,26.609999999403954,25.87624999973923,27.76374999806285,10.450000002980232,10.425000000745058,10.495000001043081,27.87250000052154,27.564999998547137,28.219999998807907,26377.802500000224,26300.53000000026,26539.017500001006
times10,0.26999999955296516,0.26500000059604645,0.2749999985098839,1.0849999971687794,1.0450000017881393,1.1099999994039536,0.5599999986588955,0.5399999991059303,0.5650000013411045,0.5500000007450581,0.544999998062849,0.5650000013411045,12.87250000052154,12.546250001527369,14.638750000856817
zebra,3.0650000013411045,2.9849999994039536,3.105000000447035,7.83500000089407,7.644999999552965,11.9375,2.899999998509884,2.894999999552965,2.9100000001490116,9.574999999254942,9.493749998509884,9.80124999769032,897.160000000149,895.3712500007823,927.1662500007078
